"date","metropolitan_area","for_sale_inventory"
2018-03-31,"United States",1421529
2018-04-30,"United States",1500194
2018-05-31,"United States",1592414
2018-06-30,"United States",1660613
2018-07-31,"United States",1709143
2018-08-31,"United States",1733388
2018-09-30,"United States",1723098
2018-10-31,"United States",1701371
2018-11-30,"United States",1642145
2018-12-31,"United States",1541994
2019-01-31,"United States",1452603
2019-02-28,"United States",1405515
2019-03-31,"United States",1449965
2019-04-30,"United States",1515570
2019-05-31,"United States",1604227
2019-06-30,"United States",1665082
2019-07-31,"United States",1693555
2019-08-31,"United States",1688690
2019-09-30,"United States",1665421
2019-10-31,"United States",1634586
2019-11-30,"United States",1560531
2019-12-31,"United States",1441428
2020-01-31,"United States",1336187
2020-02-29,"United States",1285461
2020-03-31,"United States",1309043
2020-04-30,"United States",1299807
2020-05-31,"United States",1317974
2020-06-30,"United States",1320181
2020-07-31,"United States",1345172
2020-08-31,"United States",1324973
2020-09-30,"United States",1283020
2020-10-31,"United States",1228208
2020-11-30,"United States",1140490
2020-12-31,"United States",1028143
2021-01-31,"United States",949576
2021-02-28,"United States",881616
2021-03-31,"United States",882081
2021-04-30,"United States",882293
2021-05-31,"United States",934109
2021-06-30,"United States",978002
2021-07-31,"United States",1028524
2021-08-31,"United States",1071734
2021-09-30,"United States",1083989
2021-10-31,"United States",1067840
2021-11-30,"United States",997847
2021-12-31,"United States",887059
2022-01-31,"United States",777085
2022-02-28,"United States",706905
2022-03-31,"United States",726913
2022-04-30,"United States",774472
2022-05-31,"United States",860326
2022-06-30,"United States",946905
2022-07-31,"United States",1033311
2022-08-31,"United States",1092069
2022-09-30,"United States",1101482
2022-10-31,"United States",1085079
2022-11-30,"United States",1032570
2022-12-31,"United States",955889
2023-01-31,"United States",884129
2023-02-28,"United States",830977
2023-03-31,"United States",835429
2023-04-30,"United States",845834
2023-05-31,"United States",880510
2023-06-30,"United States",907228
2023-07-31,"United States",930911
2023-08-31,"United States",950311
2023-09-30,"United States",959735
2023-10-31,"United States",977241
2023-11-30,"United States",970238
2023-12-31,"United States",932240
2024-01-31,"United States",890491
2024-02-29,"United States",876361
2024-03-31,"United States",913841
2024-04-30,"United States",967480
2024-05-31,"United States",1036855
2024-06-30,"United States",1101144
2024-07-31,"United States",1149668
2024-08-31,"United States",1173406
2024-09-30,"United States",1180165
2024-10-31,"United States",1181804
2024-11-30,"United States",1157072
2018-03-31,"Chicago-Naperville-Elgin",38581
2018-04-30,"Chicago-Naperville-Elgin",42253
2018-05-31,"Chicago-Naperville-Elgin",45757
2018-06-30,"Chicago-Naperville-Elgin",47492
2018-07-31,"Chicago-Naperville-Elgin",48984
2018-08-31,"Chicago-Naperville-Elgin",49782
2018-09-30,"Chicago-Naperville-Elgin",49630
2018-10-31,"Chicago-Naperville-Elgin",48916
2018-11-30,"Chicago-Naperville-Elgin",46495
2018-12-31,"Chicago-Naperville-Elgin",42304
2019-01-31,"Chicago-Naperville-Elgin",38250
2019-02-28,"Chicago-Naperville-Elgin",36754
2019-03-31,"Chicago-Naperville-Elgin",39387
2019-04-30,"Chicago-Naperville-Elgin",43789
2019-05-31,"Chicago-Naperville-Elgin",48113
2019-06-30,"Chicago-Naperville-Elgin",50794
2019-07-31,"Chicago-Naperville-Elgin",51883
2019-08-31,"Chicago-Naperville-Elgin",52135
2019-09-30,"Chicago-Naperville-Elgin",51829
2019-10-31,"Chicago-Naperville-Elgin",50805
2019-11-30,"Chicago-Naperville-Elgin",47938
2019-12-31,"Chicago-Naperville-Elgin",43093
2020-01-31,"Chicago-Naperville-Elgin",38966
2020-02-29,"Chicago-Naperville-Elgin",37740
2020-03-31,"Chicago-Naperville-Elgin",39339
2020-04-30,"Chicago-Naperville-Elgin",39363
2020-05-31,"Chicago-Naperville-Elgin",39734
2020-06-30,"Chicago-Naperville-Elgin",40277
2020-07-31,"Chicago-Naperville-Elgin",42454
2020-08-31,"Chicago-Naperville-Elgin",43099
2020-09-30,"Chicago-Naperville-Elgin",42308
2020-10-31,"Chicago-Naperville-Elgin",40961
2020-11-30,"Chicago-Naperville-Elgin",38027
2020-12-31,"Chicago-Naperville-Elgin",33837
2021-01-31,"Chicago-Naperville-Elgin",31354
2021-02-28,"Chicago-Naperville-Elgin",29581
2021-03-31,"Chicago-Naperville-Elgin",30715
2021-04-30,"Chicago-Naperville-Elgin",31386
2021-05-31,"Chicago-Naperville-Elgin",34006
2021-06-30,"Chicago-Naperville-Elgin",36266
2021-07-31,"Chicago-Naperville-Elgin",38328
2021-08-31,"Chicago-Naperville-Elgin",39729
2021-09-30,"Chicago-Naperville-Elgin",39806
2021-10-31,"Chicago-Naperville-Elgin",38727
2021-11-30,"Chicago-Naperville-Elgin",35528
2021-12-31,"Chicago-Naperville-Elgin",30559
2022-01-31,"Chicago-Naperville-Elgin",25580
2022-02-28,"Chicago-Naperville-Elgin",22343
2022-03-31,"Chicago-Naperville-Elgin",22775
2022-04-30,"Chicago-Naperville-Elgin",24246
2022-05-31,"Chicago-Naperville-Elgin",26775
2022-06-30,"Chicago-Naperville-Elgin",28894
2022-07-31,"Chicago-Naperville-Elgin",30846
2022-08-31,"Chicago-Naperville-Elgin",31876
2022-09-30,"Chicago-Naperville-Elgin",31682
2022-10-31,"Chicago-Naperville-Elgin",30798
2022-11-30,"Chicago-Naperville-Elgin",28771
2022-12-31,"Chicago-Naperville-Elgin",25674
2023-01-31,"Chicago-Naperville-Elgin",22770
2023-02-28,"Chicago-Naperville-Elgin",20829
2023-03-31,"Chicago-Naperville-Elgin",20922
2023-04-30,"Chicago-Naperville-Elgin",21214
2023-05-31,"Chicago-Naperville-Elgin",22091
2023-06-30,"Chicago-Naperville-Elgin",22706
2023-07-31,"Chicago-Naperville-Elgin",23228
2023-08-31,"Chicago-Naperville-Elgin",23568
2023-09-30,"Chicago-Naperville-Elgin",23569
2023-10-31,"Chicago-Naperville-Elgin",23707
2023-11-30,"Chicago-Naperville-Elgin",22957
2023-12-31,"Chicago-Naperville-Elgin",21135
2024-01-31,"Chicago-Naperville-Elgin",19092
2024-02-29,"Chicago-Naperville-Elgin",18342
2024-03-31,"Chicago-Naperville-Elgin",19059
2024-04-30,"Chicago-Naperville-Elgin",20389
2024-05-31,"Chicago-Naperville-Elgin",21782
2024-06-30,"Chicago-Naperville-Elgin",23134
2024-07-31,"Chicago-Naperville-Elgin",24180
2024-08-31,"Chicago-Naperville-Elgin",24779
2024-09-30,"Chicago-Naperville-Elgin",25144
2024-10-31,"Chicago-Naperville-Elgin",25420
2024-11-30,"Chicago-Naperville-Elgin",24503
2018-03-31,"Peoria",3018
2018-04-30,"Peoria",3188
2018-05-31,"Peoria",3374
2018-06-30,"Peoria",3557
2018-07-31,"Peoria",3677
2018-08-31,"Peoria",3726
2018-09-30,"Peoria",3642
2018-10-31,"Peoria",3532
2018-11-30,"Peoria",3338
2018-12-31,"Peoria",3067
2019-01-31,"Peoria",2805
2019-02-28,"Peoria",2637
2019-03-31,"Peoria",2666
2019-04-30,"Peoria",2807
2019-05-31,"Peoria",2961
2019-06-30,"Peoria",3092
2019-07-31,"Peoria",3163
2019-08-31,"Peoria",3225
2019-09-30,"Peoria",3237
2019-10-31,"Peoria",3186
2019-11-30,"Peoria",3065
2019-12-31,"Peoria",2878
2020-01-31,"Peoria",2717
2020-02-29,"Peoria",2606
2020-03-31,"Peoria",2580
2020-04-30,"Peoria",2554
2020-05-31,"Peoria",2581
2020-06-30,"Peoria",2558
2020-07-31,"Peoria",2529
2020-08-31,"Peoria",2410
2020-09-30,"Peoria",2291
2020-10-31,"Peoria",2159
2020-11-30,"Peoria",2024
2020-12-31,"Peoria",1871
2021-01-31,"Peoria",1746
2021-02-28,"Peoria",1641
2021-03-31,"Peoria",1607
2021-04-30,"Peoria",1593
2021-05-31,"Peoria",1599
2021-06-30,"Peoria",1600
2021-07-31,"Peoria",1644
2021-08-31,"Peoria",1727
2021-09-30,"Peoria",1780
2021-10-31,"Peoria",1751
2021-11-30,"Peoria",1645
2021-12-31,"Peoria",1472
2022-01-31,"Peoria",1292
2022-02-28,"Peoria",1108
2022-03-31,"Peoria",1059
2022-04-30,"Peoria",1070
2022-05-31,"Peoria",1173
2022-06-30,"Peoria",1263
2022-07-31,"Peoria",1348
2022-08-31,"Peoria",1405
2022-09-30,"Peoria",1412
2022-10-31,"Peoria",1392
2022-11-30,"Peoria",1311
2022-12-31,"Peoria",1184
2023-01-31,"Peoria",1052
2023-02-28,"Peoria",945
2023-03-31,"Peoria",908
2023-04-30,"Peoria",895
2023-05-31,"Peoria",932
2023-06-30,"Peoria",967
2023-07-31,"Peoria",1003
2023-08-31,"Peoria",1011
2023-09-30,"Peoria",1017
2023-10-31,"Peoria",1035
2023-11-30,"Peoria",1036
2023-12-31,"Peoria",994
2024-01-31,"Peoria",905
2024-02-29,"Peoria",868
2024-03-31,"Peoria",874
2024-04-30,"Peoria",897
2024-05-31,"Peoria",921
2024-06-30,"Peoria",951
2024-07-31,"Peoria",1010
2024-08-31,"Peoria",1068
2024-09-30,"Peoria",1118
2024-10-31,"Peoria",1153
2024-11-30,"Peoria",1133
2018-03-31,"Davenport-Moline-Rock Island",1143
2018-04-30,"Davenport-Moline-Rock Island",1212
2018-05-31,"Davenport-Moline-Rock Island",1303
2018-06-30,"Davenport-Moline-Rock Island",1411
2018-07-31,"Davenport-Moline-Rock Island",1499
2018-08-31,"Davenport-Moline-Rock Island",1599
2018-09-30,"Davenport-Moline-Rock Island",1621
2018-10-31,"Davenport-Moline-Rock Island",1611
2018-11-30,"Davenport-Moline-Rock Island",1541
2018-12-31,"Davenport-Moline-Rock Island",1407
2019-01-31,"Davenport-Moline-Rock Island",1282
2019-02-28,"Davenport-Moline-Rock Island",1180
2019-03-31,"Davenport-Moline-Rock Island",1205
2019-04-30,"Davenport-Moline-Rock Island",1297
2019-05-31,"Davenport-Moline-Rock Island",1416
2019-06-30,"Davenport-Moline-Rock Island",1508
2019-07-31,"Davenport-Moline-Rock Island",1603
2019-08-31,"Davenport-Moline-Rock Island",1714
2019-09-30,"Davenport-Moline-Rock Island",1782
2019-10-31,"Davenport-Moline-Rock Island",1784
2019-11-30,"Davenport-Moline-Rock Island",1718
2019-12-31,"Davenport-Moline-Rock Island",1617
2020-01-31,"Davenport-Moline-Rock Island",1522
2020-02-29,"Davenport-Moline-Rock Island",1444
2020-03-31,"Davenport-Moline-Rock Island",1419
2020-04-30,"Davenport-Moline-Rock Island",1403
2020-05-31,"Davenport-Moline-Rock Island",1423
2020-06-30,"Davenport-Moline-Rock Island",1429
2020-07-31,"Davenport-Moline-Rock Island",1439
2020-08-31,"Davenport-Moline-Rock Island",1402
2020-09-30,"Davenport-Moline-Rock Island",1349
2020-10-31,"Davenport-Moline-Rock Island",1286
2020-11-30,"Davenport-Moline-Rock Island",1234
2020-12-31,"Davenport-Moline-Rock Island",1163
2021-01-31,"Davenport-Moline-Rock Island",1104
2021-02-28,"Davenport-Moline-Rock Island",1027
2021-03-31,"Davenport-Moline-Rock Island",1022
2021-04-30,"Davenport-Moline-Rock Island",1020
2021-05-31,"Davenport-Moline-Rock Island",1110
2021-06-30,"Davenport-Moline-Rock Island",1246
2021-07-31,"Davenport-Moline-Rock Island",1426
2021-08-31,"Davenport-Moline-Rock Island",1558
2021-09-30,"Davenport-Moline-Rock Island",1617
2021-10-31,"Davenport-Moline-Rock Island",1625
2021-11-30,"Davenport-Moline-Rock Island",1574
2021-12-31,"Davenport-Moline-Rock Island",1452
2022-01-31,"Davenport-Moline-Rock Island",1274
2022-02-28,"Davenport-Moline-Rock Island",1110
2022-03-31,"Davenport-Moline-Rock Island",1006
2022-04-30,"Davenport-Moline-Rock Island",965
2022-05-31,"Davenport-Moline-Rock Island",996
2022-06-30,"Davenport-Moline-Rock Island",1059
2022-07-31,"Davenport-Moline-Rock Island",1087
2022-08-31,"Davenport-Moline-Rock Island",1098
2022-09-30,"Davenport-Moline-Rock Island",1077
2022-10-31,"Davenport-Moline-Rock Island",1065
2022-11-30,"Davenport-Moline-Rock Island",1028
2022-12-31,"Davenport-Moline-Rock Island",954
2023-01-31,"Davenport-Moline-Rock Island",886
2023-02-28,"Davenport-Moline-Rock Island",803
2023-03-31,"Davenport-Moline-Rock Island",787
2023-04-30,"Davenport-Moline-Rock Island",794
2023-05-31,"Davenport-Moline-Rock Island",847
2023-06-30,"Davenport-Moline-Rock Island",921
2023-07-31,"Davenport-Moline-Rock Island",977
2023-08-31,"Davenport-Moline-Rock Island",1034
2023-09-30,"Davenport-Moline-Rock Island",1036
2023-10-31,"Davenport-Moline-Rock Island",1039
2023-11-30,"Davenport-Moline-Rock Island",1001
2023-12-31,"Davenport-Moline-Rock Island",948
2024-01-31,"Davenport-Moline-Rock Island",888
2024-02-29,"Davenport-Moline-Rock Island",846
2024-03-31,"Davenport-Moline-Rock Island",842
2024-04-30,"Davenport-Moline-Rock Island",883
2024-05-31,"Davenport-Moline-Rock Island",950
2024-06-30,"Davenport-Moline-Rock Island",1042
2024-07-31,"Davenport-Moline-Rock Island",1115
2024-08-31,"Davenport-Moline-Rock Island",1196
2024-09-30,"Davenport-Moline-Rock Island",1270
2024-10-31,"Davenport-Moline-Rock Island",1324
2024-11-30,"Davenport-Moline-Rock Island",1318
2018-03-31,"Rockford",1253
2018-04-30,"Rockford",1263
